Review Text,Date,Star Rating,Total Films Reviewed,Reviews This Year,Following,Followers
"a cinematic feast. there are a handful of small lulls in the second act, but as a complete picture it devours. the absurdity and tragedy of living boiled down to a rich concentrate and then spray painted all over the walls. i’m craving that rewatch alreadygotta be a career best for emma stone, and i don’t say that lightly. her character progression is so intuitive that it’s sometimes almost difficult to watch. human nature captured in facial expressions and…",07 Dec 2023,9,2597,10,301,2597
Don’t know yet what I’m going to rate this because I did enjoy it but idk how you do alllll of what this film does and never once show menstrual blood. It still so very much feels like a man’s idea of women’s sexuality and liberation. Still keeps women as objects despite so desperately wanting to show them as the “master of their own ship.” A real conundrum.NYFF #5,29 Sep 2023,5,11398,204,391,11398
"emma at her best, ruffalo is a great horny fop and i’m so glad yorgos is out here doing his thing but real “I get it!” vibes after a while",29 Sep 2023,7,4399,54,352,4399
"Acknowledging that this is as hollow and frothy an act of male-gaze feminism as Barbie was a corporate didactic toy commercial (I found both extremely entertaining) does not mean this movie isn’t also a gloriously weird modern cartoon parable about fathers and daughters, little girls and women, husbands and wives, lovers and enemies, sex workers and clients, cruelty and humanity, philosophy and reality, and the balance between the desire for an adventurous life and the joys of a settled one.…",15 Dec 2023,8,3565,22,1894,3565
I haven’t been this happy watching a film from start to finish in a very long time.,08 Dec 2023,0,6386,79,223,6386
a real mood lifter,27 Jan 2024,0,1912,45,159,1912
cheesed to meet you,30 Aug 2023,8,1547,16,147,1547
"It’s interesting knowing a movie will be your favorite of the year long before you ever get to watch it.Poor things is a stunning story about discovery, SO MUCH discovery. Its a movie that can juggle a billion aspects of life. Moving on from one to the next so seamlessly akin to how we do in our everyday lives.There’s so much humanity found in a movie about a sown-together cadaver reanimated. What drives us, what makes us curious,…",14 Dec 2023,0,1196,28,108,1196
Someone show this to the woman who hid her husband's eyes during Oppenheimer.,30 Sep 2023,8,2029,58,71,2029
God how I missed these types of movies where they build an entire insane unrealistic city on a soundstage. Wasn't expecting the The Lobster guy to be our new Jean-Pierre Jeunet but he's doing a great job.,18 Dec 2023,9,2372,34,19,2372
"I'm genuinely concerned that so many people have found this film to be a praiseworthy feminist fable and not the grotesque, disturbing, and perverse fairy tale that it so clearly is. I can accept some level of pornographic content in films when it comes to sex, but what is effectively mental child pornography I cannot. This film proposes that the activating key to self-discovery and growth for a woman comes in sexual freedom and promiscuity. But she's not a woman.…",19 Dec 2023,1,4448,38,564,4448
"Ruffalo, your rizz too tough. Your swag too different. Your bitch too bad. They’ll kill you, Ruffalo.2023 Ranked",06 Dec 2023,9,1985,24,257,1985
so this is what taylor swift meant by sexy baby,01 Sep 2023,9,494,11,606,0
"stunning production + costume design, gorgeous colors, and perfect score. i think anyone looking for a feminist tale is going to be disappointed (also to note: male director, male writer, original book written by a man, you get the gist). but despite the simplification of womanhood, there’s still lots to love. like how this movie takes a general concept about the chaos of life & relationships and maintaining hope & joy throughout it all, and infuses said concept with roald dahl-esque fantasy, whimsy & childlike wonder. emma stone did her best acting performance to date and overall i had a good time!!!",28 Dec 2023,8,1116,9,26,1116
"Sick to my stomach.Ok, so you imprison a woman, and then cut her apart, replace her brain with a baby’s, and masquerade her as a sex starved feminist icon of sexual liberation?Under a thick layer of production design is grotesque plot goo. Don’t be fooled. This Frankenstein-Barbie disaster goes nowhere, solves nothing, and is a prime example of male perspective feminism, focusing narrowly on a woman’s sexuality by infantilizing her, imprisoning her, exploiting her, and literally taking away her brain. This art fluff is so far from a consent, I could barely watch.",20 Dec 2023,1,1106,2,121,1106
“We are a fucked species. Know it.”,22 Nov 2023,8,5091,50,180,5091
i love how much time we spend just watching bella explore and experience lisbon - and the ship only a few scenes later - because i feel like films are rarely given that special space to breathe and merelyexistthese days. a lesser movie (and one with more studio interference) would’ve cut those scenes out because they “don’t explicitly move the plot forward” to give it a “tighter edit” and “faster pacing.” but when you leave scenes like these…,27 Dec 2023,0,4812,21,512,4812
god forbid women have hobbies,12 Jan 2024,0,1777,25,103,1777
does for apples and cucumbers whatcall me by your namedid for peaches,08 Dec 2023,8,68,6,2278,2278
frankenbarbie,30 Sep 2023,0,4469,102,6786,4469
"POOR THINGS is the most technically dazzling film Yorgos Lanthimos has constructed. A sexually liberating, imaginative tale of reawakening & discovery featuring the best performance of Emma Stone’s career. Mark Ruffalo has never been funnier. The production and costume design is exemplary while Tony McNamara’s screenplay contains so much foul-mouthed and ingenious wordplay I want to watch it again just to catch all the lines I missed from laughing. A sensational triumph all around.",02 Sep 2023,9,2531,63,195,2531
"Sometimes Lanthimos' CLOCKWORK ORANGE, other times his EDWARD SCISSORHANDS. Formally precise and frequently quite funny, also superficial and just as frequently quite annoying.",08 Nov 2023,6,5477,8,297,5477
"""i must go punch that baby""",14 Jan 2024,0,4469,102,6786,4469
"You could pause this film at any point and get one of the best frames of the year. Some of the year's finest use of colour and space. I absolutely loved the lens choices and the way they changed throughout, allowing full and complete immersion. It's exactly like looking at a moving canvas. And, for the most part, I adored everything about it. I do agree with the critique that the feminist liberation commentary is highly male gaze, one that…",12 Jan 2024,8,2976,84,408,2976
"don’t have a joke tonight, this movie just reminds me how much i love life :’)",10 Dec 2023,0,4812,21,512,4812
"a grotesque picaresque! a phallic phantasmagoria. a ballad, a battle cry, a bildungsroman. words can be anything you want them to! Bella Baxter has seized upon this notion and inhaled it with gusto like a flaky pastry. she moves with a jerky insouciance across London, Lisbon, Alexandria, Paris, eager to sculpt every cell of her malleable mind, body and soul.she is shameless. she is reckless. she is underworked and oversexed, pulsing, beating, bursting through the fleshy walls of God’s…",26 Oct 2023,9,2724,44,339,2724
"Science can be rather odd,A new brain inside an old bod.And with a yearning,To keep on learning,As fostered by Willem DaGod.",05 Dec 2023,8,5362,67,1984,5362
traveling back in time to show this to mary shelley,27 Dec 2023,8,820,41,2268,2268
bella baxter’s autistic swagger vs the patriarchy,30 Dec 2023,8,4124,35,222,4124
Yorgos going to keep using wider and wider lenses with each new film until finally you can see him in frame directing the movie,28 Dec 2023,8,1411,6,260,1411
a gloriously weird and wonderful rich tapestry of life with some of coolest production design i have ever seen!!! i hope yorgos and emma work together for the rest of eternity,04 Nov 2023,0,3113,40,280,3113
"Poor ThingsOne star for the production design, costumes, hair and makeup, music, and acting. A perverted view of a woman “coming into her own” by a slew of men writers and filmmakers who focus more on the gratuitous sex and cinematography than the storytelling. Knowing all of Bella’s origins within the first 20-minutes of the movie made the rest seem entirely predictable and revelations she made of her own being unremarkable, unmoving.And are we saying a woman’s understanding…",09 Dec 2023,2,277,21,13,0
Stone is impeccable but Ruffalo is INSANE,10 Oct 2023,0,5384,89,57,5384
"bella stop you're too loca. your pussy too powerful. your swag too different. they'll kill you, bella",31 Jan 2024,0,2052,19,831,2052
"New York Film Festival 61: Poor ThingsThe film boasts stunning visuals that left me in awe, and the performances by Emma Stone and Mark Ruffalo were nothing short of exceptional, making ""Poor Things"" a true standout of the festival for me. Ruffalo steals the show with his comedic performance. While Emma Stones absence from the screening was a bummer, Yorgos Lanthimos was there, proving to be surprisingly chill despite his wild films.Based on Alasdair Gray’s novel, Lanthimos delves…",29 Sep 2023,0,2781,24,66,2781
"„Formidable“Mein Herz tanzt! Ich möchte aufstehen und jubeln, weil Kino und Film manchmal, nur manchmal, so verzücken können, dass ich tief im Inneren ein Kribbeln spüre. Weil jedes Bild ein kleines Kunstwerk ist, weil die Grenzen von Sehgewohnheiten und Geschmack ein kleines Stück verschoben werden. Weil das, was gesagt wird, berührt und begeistert. Und weil wie es gesagt wird, in Staunen versetzt.„Poor Things“ ist purstes Kino und schlicht große Kunst. Ein Film über die Emanzipation von Geist und…",18 Oct 2023,5,3060,16,19,3060
"64Really quite remarkable conceptually, even ifPoor Thingscan't fully sustain its vast ambition, often struggling from chapter to chapter. The dreadful pacing just about kills it, but what lingers is an odyssey of mannered form and unnerving questions. What a stunning achievement in design and performance. Emma Stone! Mark Ruffalo! Willem fucking Dafoe!",23 Dec 2023,7,5026,19,520,5026
give me emma stone's entire wardrobe from this film now or i will kill a man (or few),30 Aug 2023,8,442,18,102,0
"All the furious jumping is going to upset the prudes. I’m no longer convinced thatBarbiehas the production design Oscar locked up, but I think the Best Actress category might belong to Emma Stone.I’m happy to say that my most anticipated movie of 2023 didn’t disappoint, a standout film in a pretty stellar year. A truly singular experience.",07 Dec 2023,9,2904,61,49,2904
"I’ve just learned that the movie gets rid of the part in the book where Candle is the one essentially telling the story through his perspective (the male fantasy) and that at the end of his story Bella calls his version of events out as untruthful.This changes everything. I knew something was up with the movie. It’s missing a key point of the book, making it just a one-sided fantasy from an insecure man with no actual reflection.SURELY…",07 Jan 2024,2,526,11,27,0
"Yorgos Lanthimos films have always been as liberating as they are suffocating. As obsessed with rules as they with breaking them. His characters always hellbent on defying the worlds they’ve been presented. With this in mind, it was only a matter of time until Lanthimos tackled sexuality and individual expression.When we hear the phrase “poor things” it’s hard not to picture children. Innocent creatures bound to have their very innocence stripped from them. In actuality the poorest thing of…",30 Dec 2023,9,1441,15,77,1441
"Eu me diverti vendo esse master work do Yorgos Lanthimos, gostei dos detalhes, do sentido de mundo paralelo. Me lembrei de Um Filme Falado do Manoel de Oliveira, de Entrevista com o Vampiro (Neil Jordan), do Dogtooth (claro), não sei porquê lembrei do Memórias Póstumas de Brás Cubas (Machado de Assis), de The Elephant Man (Lynch) e do Frankenhooker (Frank Henenlotter). Lembrei de Barbie, de Greta Gerwig e da Mattel. Eu tenho uma tendência de me divertir quando vejo bons…",24 Jan 2024,9,244,14,13792,13792
"Finally, I have my own ""Barbie"".",29 Sep 2023,0,6214,52,48,6214
"I wish Mary Shelley and Stanley Kubrick were here, they would've loved this.",13 Dec 2023,2,823,65,3074,3074
"Emma Stone: ""Furious jumping OwO how marvelous! Delighted! How do they make the pastry so crisp? I must go punch that baby UwU *nuzzles u and notices ur bulge* I have adventured it and found nothing but sugar and violence I'm so quirky (^・ω・^)""Yorgos Lanthimos: ""haHAA! Yes! I'm a genius! Edit: Wow this sure blew up! Thanks for the Oscar, kind stranger!""",22 Dec 2023,8,4090,36,186,4090
"A quirky display of sincere and sexual filmmaking. An important exploration of ideals and the values of life and independence. Yorgos Lanthimos is at his most audacious here and delivers a one of a kind experience that will absolutely dazzle. Poor Things is a technical feast. It’s an ode to creativity and a stunning exhibit of masterful direction. There’s so much filmmaking exploration here. Lanthimos is utilizing camera-work techniques, color schemes, and editing decisions that we’ve never seen him play…",30 Sep 2023,0,2179,87,95,2179
Bore-gos Lostmethemost needs to give his fish eye lens back to Hype Williams and take this bullshit back to Greece.Emma Stone does get completely naked multiple times though.,15 Dec 2023,5,715,12,60,27198
men fucking a baby (but make it feminist) (because she likes it),16 Dec 2023,1,272,11,33,0
"The most monstrous of all fates is the lack of agency over one’s own destiny.For gothic heroines, their ends are written into their genre; the choice of individualism, or of romantic love. To choose a man is almost always to choose death.This is where the story of “Poor Thing’s” Bella Baxter begins: choosing death, of her past. Where her storycontinues— is a rebirth into the self - through romantic and into post romantic thought; finding external…",11 Dec 2023,0,3919,25,299,3919
when the infant piloting emma stone's jaeger started masturbating with an apple and riding mark ruffalo's dick i walked out peace and love,16 Dec 2023,1,277,22,18,0
"A Picaresque joy; wherein a strong (Freudian) sex drive eventually gives way to personal agency and body and mind autonomy. Forget Barbie and Ken, Emma Stone gives the doll-come-to-life performance of the year and Mark Ruffalo does all the Kenisms with obscenity. Truly two great and fully committed comedic performances in a movie that lives very much in Terry Gilliam's skin but (unlike his films) never runs off the rails. The absurdist colors and costumes dress up a Pinocchio and…",03 Sep 2023,9,5586,48,416,5586
"A partir de um olhar contemporâneo para o clássico, Yorgos Lanthimos constrói sua narrativa de contrastes. Quando fui ver o filme, não sabia que era baseado num livro que se inspira em Frankenstein de Mary Shelley, mas isso logo fica evidente nos caminhos que a trama toma de início, além da explícita inspiração de Lanthimos em histórias clássicas do cinema de terror, como pode ser percebido na influência do Expressionismo Alemão principalmente na primeira parte do longa. O que é…",22 Jan 2024,6,1899,34,282,1899
"Willem Dafoe has now played God and Jesus Christ, maybe he’ll finally receive an Oscar when the Trinity is complete.",21 Dec 2023,9,700,39,6634,6634
definitely have to sit and ruminate for a second after watching this,24 Jan 2024,8,887,9,21,40326
"“I’ve discovered something that I must share … Bella discover happy when she want!”A young woman strays away from God. She rejects her sheltered upbringing. She discovers pleasure through an exciting relationship with a troublesome man. She self-actualizes through sex work, queerness, and socialism. She returns with fondness for her God and with a new balance of power outside of male subjugation.The movie was made in a lab (hehe) as a parable of the viewer’s choosing. It's easily…",10 Dec 2023,8,1958,22,191,1958
"You can stuff it in unending lace and ruffles, but an overly simplistic worldview is an overly simplistic worldview. This feels like an acting exercise gone wrong, and while I love the production design, it still doesn’t manage to distract from the fact that the film simply doesn’t know what to do with Bella once she’s no longer a child. Enthusiasm isn’t empowerment, and the movie doesn’t even make a stab at answering the “so what?” that comes after Bella takes control.",16 Dec 2023,4,1594,26,236,1594
direção de figurino radiante; fulgurante; resplandecente. desde o maria antonieta da coppola ninguém presta tanta atenção ao tecido. gostei que o yorgos surfou na onda do chroma key e em vez de meter um fundo realista meio artificial fez logo um negócio obviamente artificial e ficou muito mais realista. se é que eu me faço entender,06 Feb 2024,9,972,5,49,8603
"LANTHIMOS: “I just never understood the prudishness around it. It always drives me mad how liberal people are about violence and how they allow minors to experience it in any way, and then we’re so prudish about sexuality.” (Source: NYT)Me: Agreed! So what you got cookin’?LANTHIMOS: A fantasy about a mother who kills herself and has her unborn infant’s brain implanted into her adult body. In the opening scene the other characters refer to her with the r-word,…",09 Dec 2023,1,1926,62,74,1926
"Yorgos Lanthimos goes Guy Maddin with a macro budget, Peter Greenaway with lesser intellectualization, Tim Burton if he'd have darker humor, bigger ambition and more cojones.Lanthimos is looking all the way from top to bottom - from freudian theories of sexual drives and the necessary liberation coming with it to philosophical questioning of pessimism, cynicism and self-development. it's a huge package he's tying up here, a little clumsy as usual when auteurs tackle the big picture, but the ambition…",30 Sep 2023,9,5925,83,4928,5925
Pornocchio,22 Dec 2023,8,485,35,33,6316
Watch it and have fun before film Twitter tells you it has unnecessary sex scenes,07 Dec 2023,7,2019,42,93,2019
"LONDON FILM FEST REVIEW:This absolutely pains me to say this as I love Yorgos Lanthimos but… fuck this movie. Fuck everything about this movie. I can’t remember the last time I hated a movie this strongly.Poor Things is, without a doubt, THE most ableist movie I have ever seen in my entire life.As a wheelchair user/someone who cares deeply about the disabled community, the way this film treats disabled people was absolutely shocking. There’s a baseline cruelty,…",15 Oct 2023,1,671,6,187,0
"Uma viagem aliciante esse filme, incrível como o Lanthimos consegue comunicar perfeitamente na estética surrealista toda a transformação mental da personagem, tudo ali está a serviço da história. Eu senti uma vagareza na parte do bordel, achei o texto redundante, mas ainda assim, filmaço.",11 Feb 2024,9,22,22,3624,3624
A man told you this is female sexual liberation and you ate it up. Sad. “Its a journey about finding yourself and womanhood etc etc” you’re so dumb and a boardroom full of rich men are probably highfiving rn reading all these idiotic reviews. According to letterboxd ”feminism” (whatever that means anymore) is toddler in hyper sexualized adult body being manipulated and sexually abused you’re all so stupid.Somehow WORSE tho is how ableist and offensive this all is. Every…,14 Dec 2023,1,336,44,38,0
"If feminism was written by men. A story of womanhood and self discovery but through a hot, guaranteed orgasm, non menstrual, sex life.I find it hilarious that there was such an uproar amongst men after Barbie came out but somehow this “feminist” self discovery movie has had no such uproar and I wonder why that is… if this movie was meant to deconstruct the “born sexy yesterday” trope - I ask, is the deconstruction in the room with us…",23 Dec 2023,1,40,5,27,0
this is the experience of bein a self-actualized whore,10 Dec 2023,9,2304,21,293,2304
i think emma stone is the only white woman i’ll ever fully stan,15 Oct 2023,9,1782,18,204,1782
"It’s really remarkable what Emma Stone does and is in this, I really can’t stress that enough, but I can’t say everything else kept pace for me — and fine! Fascinating all the same butThe Favouritestays exactly that for me.",27 Sep 2023,7,2631,49,179,2631
"Aus meinem Grab gesendet, weil mich Emma Stones Performance gekillt hat.",19 Jan 2024,9,1300,18,296,1300
"barbie if weird barbie was the leadETA: a stylistically playful, wickedly funny take on self actualization and becoming your own woman! phenomenal cast and costumes to die for.",01 Sep 2023,9,1769,29,254,1769
grad school 👍🏻,29 Sep 2023,6,1956,34,206,1956
i ate a pear today that looks like willem dafoe in this movie,27 Jan 2024,8,409,24,2697,2697
"BEST OF 2023 LISTDISCLAIMER: It's been a long time since I’ve done this, but I got caught in Lanthimos wavelength to the point my review I guess was affected by it. Hence, this is more intended as an offbeat reactionary piece/I guess you can say review. I don’t know… thought would put that warning out there.Okay, first of all, one of my fave cinema experiences. Not only did I put some extra bucks to watch this in the…",28 Jan 2024,8,7982,176,8611,7982
"“PRECISAMOS VIVENCIAR TUDO. ISSO NOS FAZ INTEIRO”.Depois de terminar poor things eu pude compreender a mitologia de ícaro que se deslumbrou com a imagem do sol e voou em sua direção, sinto-me exatamente como ele ao terminar o longa, voando em direção a uma das obras mais geniosas e inventivas dos últimos tempos. O novo filme do diretor Yorgos Lanthimos é sem sombra de dúvidas apoteótico. Adaptação do livro de mesmo nome do escritor Alasdair Gray, poor things conta…",06 Feb 2024,0,39,18,4354,4354
BELLA BAXTER FOR PRESIDENT,01 Feb 2024,0,2250,82,1583,2250
"Venice 2023 #13Lanthimos at his weirdest and unhinged. Was it worth it? Absolutely not.-Pathetically shallow and fully riddled with «Blonde» level of purposeless, showy stylistic tics that has nothing interesting to say about communism, emancipation and sex workers. With all its magnetic performance by Emma Stone, hilarious humor and campiness in the end it’s just «style over substance» to satisfy some easily impressed filmbros and nothing more.",02 Sep 2023,5,1272,55,266,1272
Live every day like you are a reanimated girlboss with a baby brain.,10 Feb 2024,9,11829,136,1839,11829
last person on earth to see this i know but HOLYYY SHITTT this score had my heart pounding. Some of the most disgusting display of man ass probably in the history of cinema.,19 Jan 2024,0,885,37,77,14826
"Much as I loved the wild and immaculate sets, vibrant cinematography, jarring score, and witty, thought provoking dialogue, the conclusion ultimately doesn’t live up to the radical sensibilities that Bella Baxter’s bright eyed and thrillingly unadulterated perspective seems to promise. The first half couldn’t have been better, while the second didn’t build much on its the ideas it sets up. I expect a lot of people will feel this movie drag towards the end.First half 10/10 second half 7/10. I feel a bit let down but at the same time that’s because I was especially invested in Bella’s development",29 Sep 2023,8,592,15,58,6601
thank god emma stone decided to only play freaks this year,22 Dec 2023,8,820,41,2268,2268
I think it’s fun that she embarks on a journey of self-actualization through sexual exploration just because it feels good.,26 Dec 2023,7,3329,22,161,3329
"sexual desire as freedom, as imprisonment, and then as freedom again. the world is a wasteland, men are evil, and there’s nothing we can do to change it. the best and most we can do is lovethis is going to give every anti sex scene zoomer a lethal seizure. maybe even multiple",30 Sep 2023,0,2888,28,250,2888
"Victoria Blessington plunging to her death, her body breaking on impact. Bella Baxter gravitating towards the way things break. Again and again, in her earliest stages, Bella drops things and revels in their shattering, exclaims with delight at the sight of squashed frogs, marvels at broken pieces. As a broken thing brought back to life herself, her early infatuation with these moments feels like muscle memory. A dopamine rush like all the others that she is perpetually chasing. She is…",06 Jan 2024,6,3666,55,546,3666
Funny; goofy; male-gazey; overlong; quirky; one-note; problematic; repetitive; stylish; stylized; uninhibited; well-crafted; well-scored.,16 Dec 2023,8,3134,141,4748,3134
"POOR THINGS is one of the most wild movies I’ve seen this year. A steampunk fairytale fantasia that manages to shock you, move you, and make you burst out laughing. This is Yorgos Lanthimos unchained and I thought we’d already seen that before but I guess not.",08 Nov 2023,8,1378,40,323,1378
"Muito divertido, excelente timing, etcetra, etcetra, MAS! Qual é a evidência científica do filme para dizer que em Portugal os pastéis de nata se comem numa única dentada? Eu não percebo nada de cinema, mas percebo de doçaria portuguesa. NINGUÉM em Portugal come as natas numa única dentada. Não respeito quem as come à colher, como se fossem uma baba de camelo, mas pelo menos “comer pastéis de nata à colher” existe. “Comer pastéis de nata numa dentada” não existe.…",29 Jan 2024,0,360,10,39,1848
"""I have adventured it and found nothing but sugar and violence.""Feminine subjectivity & corporeality vs. the patriarchyPoor Thingsfeels like the third part of a thematic trilogy with fellow 2023 new releasesBarbieandBeau Is Afraid, movies with very different formal, structural, and stylistic sensibilities but all about gender and sexuality and their place in society. Putting the mind of a baby girl in the body of a grown woman forces us to watch as she discovers the…",04 Jan 2024,0,3578,20,246,3578
"Poor Thingsas a whole is a big analogy, as has been said. However, the more I think about it, the parallels to the human existence become more profound. Bella Baxter's journey of discovery and social awareness grandly reflects the feminine condition, since all the men in her life try to control or take advantage of her on some level. In this reality, her lack of fear of social impositions is precisely what makes her stand out from anyone.I…",03 Feb 2024,1,2459,43,1526,2459
The film is about child sexual abuse but packages itself as a post feminist comedy.Lazy joke writing. Relies on f-bombs and C you next tuesdays. Perverse and shallow. Distorted views on gender and sexuality.Well disguised as art house.,01 Sep 2023,8,700,5,32,0
"Do you want to see what the world is really like?A raw and genuine presentation of life and its intricacies. A journey through the world and people, in their degrading, sad and decaying forms as well as in their exuberant and euphoric nature. Every place, every person, every feeling… All is displayed without an ounce of judgment, with no societal constructs, with true wonder. Beneath the cotton and colorful sky, the resplendent and picturesque visuals of the cities of…",25 Jan 2024,0,1081,18,1926,1081
need to queen out with her,31 Jan 2024,0,1782,18,204,1782
This Emma Stone vs Lily Gladstone battle for the Oscar is on some biblical clash of the titans shit,06 Jan 2024,8,668,27,45,7044
oh but when i ask for a lobotomy im crazy… riiiiiiight.,18 Dec 2023,9,378,21,17,4513
"People rating this less than 5 stars... what more do you want?Kidding. Well, sort of. I've read the negative reviews and I can see why some people have taken issue with the film's... unique brand of feminism, but I can't help but feel that anyone reducing Bella's journey to a ""male fantasy of female empowerment"" is doing both her and Lanthimos a huge disservice. Yes, she sleeps with several men over the course of the film – many in…",14 Jan 2024,0,1359,30,533,1359
"What a dream. I want to live in those title cards.*Addendum*Seeing reviews suggesting A) this is objectifying. B) a lack of menstruation on screen is misogynistic.The entire movie is about her agency. You can have self discoveryandyour tits out.And I'm sorry but there's a goose head on a dog. You really can't imagine a story about womanhood without period blood...? Why does that make her a more ""realistic"" woman?",16 Dec 2023,8,650,9,64,4131
she’s so literally me that i should sue,22 Dec 2023,0,254,3,4462,4462
"IpromiseI show up wanting to like things. And I am always excited by a new Yorgos Lanthimos film, and I am jazzed that Emma Stone is so turned on by freaky art, and I love when any movie this strange is packing theaters and getting reviews all the way from raves to denunciations.Poor Thingsdoesn't play things safe, and nor does anybody involved, and you gotta hype that up. Anything could happen.But then so little actually…",18 Dec 2023,4,1039,29,15,1039
sitting in the theater shaking my head to let everyone know i think exploiting women for their innocence is bad,04 Feb 2024,8,5522,52,645,5522
"Duncan Wedderburn:""Well at the risk of being immodest, you have just been thrice fucked by the very best. It's probable no other man will ever bring you to the raptures I will. I feel bad for you.""Mark Ruffalo had a lot of doubts about his performance during the shoot. He would often joke that his friend Oscar Isaac, who was filming on a nearby sound stage, was going to be called in to replace him. One day, Willem…",04 Feb 2024,9,503,34,643,3026
"“You smell ok, let’s fuck”Yorgos embracing the Buñuelian comedy of manners as a baroque, erotic horror show that’s as clear an example of contemporary studio financed exploitation filmmaking as I can think of (a true coup that any filmmaker could get tens of millions of dollars to shoot this much gore and nudity on 35mm in 2023) — quite rapturous, in every facet",22 Dec 2023,9,12430,128,921,12430
DO NOT SEE THIS WITH YOUR PARENTS,13 Jan 2024,8,487,4,4472,4472
"É o mesmo feminismo de grife de Barbie, mas a grande diferença é que, aqui, a comédia de fato funciona e atua como um constante movimento de força que tensiona o discurso maniqueísta. Ou, pelo menos, dá vida a ele de um jeito meio grotesco e explícito que corre os seus devidos riscos.Além da sátira, agora, estar muito bem assumida, o Lanthimos pega várias distorções da realidade que ele já começava a flertar no Favorita e transforma o seu…",05 Feb 2024,8,4482,36,102,4482
"Poor Things is groundbreaking like Newton and Einstein discovered physics law. Encompassing nearly every aspect of the human desire, Bella's exploration of sexuality and humanity exposes our most primal instincts. It manages to be both funny and quirky while maintaining profound depth. I would dare to call it the best film in cinematic history. Imma go cry now. It’s great to be alive to witness Poor Things.",01 Sep 2023,0,2424,23,203,2424
"They sawed openBreaking the Waves’s head and putBarbie’s brain inside. Central performance a tour de force, obviously. Unlike some of the men in this movie, I would’ve treated Bella right.",02 Jan 2024,4,3909,83,222,3909
poo things,02 Feb 2024,9,956,3,12,3779
I’m here for Emma’s waddling and Willem’s patchwork face!Check out a horror movie podcast I produceWatch No Evil.,07 Feb 2024,9,701,44,1773,1773
Who would have thought that the only thing Mary Shelley's Frankenstein needed to become a feminist masterpiece was more whoring around?,01 Feb 2024,0,4524,35,520,4524
cue thei watched this with my grandma and i was traumatised 😭tiktok comments,26 Dec 2023,0,2052,19,831,2052
"I’m not even joking when I say this might be my new favorite movie of all time. This exceeded every expectation I had, and more, this film is weird, twisted, funny, & even heartwarming. This is one of the best adapted screenplays ever. The way Yorgos brought to life one of those most creative utopian universes ever & making it as gorgeous as he did was astonishing, it’s honestly the prettiest setting I have ever seen in any film ever, and seeing…",05 Dec 2023,8,626,17,1716,1716
i know a magnum opus when i see one :),14 Jan 2024,0,1393,25,185,1393
"Poor Things"" is pure excellency, strange, and wickedly funny.Emma Stone is captivating, and Mark Ruffalo gives the best performance of his career.",13 Dec 2023,7,2676,60,38033,2676
"gonna have to level with y'all - both the one star AND five star reviews on here seem to be describing a much more interesting, provocative movie than i actually saw on screen.",10 Feb 2024,0,1318,24,983,1318
